These results were obtained with 100 generations of 200 individuals and 0.1 mutation

Generation 0 Bot 0, score = 153
Generation 0 Bot 10, score = 1596
Generation 0 Bot 20, score = 3503
Generation 0 Bot 30, score = 78
Generation 0 Bot 40, score = 105
Generation 0 Bot 50, score = 595
Generation 0 Bot 60, score = 120
Generation 0 Bot 70, score = 28
Generation 0 Bot 80, score = 300
Generation 0 Bot 90, score = 210
Generation 0 Bot 100, score = 435
Generation 0 Bot 110, score = 91
Generation 0 Bot 120, score = 253
Generation 0 Bot 130, score = 171
Generation 0 Bot 140, score = 36
Generation 0 Bot 150, score = 120
Generation 0 Bot 160, score = 5756
Generation 0 Bot 170, score = 91
Generation 0 Bot 180, score = 136
Generation 0 Bot 190, score = 210
Generation 1 Bot 0, score = 7021
Generation 1 Bot 10, score = 2850
Generation 1 Bot 20, score = 25978
Generation 1 Bot 30, score = 3928
Generation 1 Bot 40, score = 2926
Generation 1 Bot 50, score = 4571
Generation 1 Bot 60, score = 2628
Generation 1 Bot 70, score = 1953
Generation 1 Bot 80, score = 2145
Generation 1 Bot 90, score = 3570
Generation 1 Bot 100, score = 2628
Generation 1 Bot 110, score = 5671
Generation 1 Bot 120, score = 2775
Generation 1 Bot 130, score = 3570
Generation 1 Bot 140, score = 7481
Generation 1 Bot 150, score = 3260
Generation 1 Bot 160, score = 3503
Generation 1 Bot 170, score = 6305
Generation 1 Bot 180, score = 105
Generation 1 Bot 190, score = 4950
Generation 2 Bot 0, score = 18355
Generation 2 Bot 10, score = 66
Generation 2 Bot 20, score = 2145
Generation 2 Bot 30, score = 3755
Generation 2 Bot 40, score = 10030
Generation 2 Bot 50, score = 3486
Generation 2 Bot 60, score = 21628
Generation 2 Bot 70, score = 2850
Generation 2 Bot 80, score = 13020
Generation 2 Bot 90, score = 2701
Generation 2 Bot 100, score = 5460
Generation 2 Bot 110, score = 10211
Generation 2 Bot 120, score = 5453
Generation 2 Bot 130, score = 5995
Generation 2 Bot 140, score = 3081
Generation 2 Bot 150, score = 6095
Generation 2 Bot 160, score = 9930
Generation 2 Bot 170, score = 5460
Generation 2 Bot 180, score = 11031
Generation 2 Bot 190, score = 5656
Generation 3 Bot 0, score = 8778
Generation 3 Bot 10, score = 10396
Generation 3 Bot 20, score = 37256
Generation 3 Bot 30, score = 3240
Generation 3 Bot 40, score = 12761
Generation 3 Bot 50, score = 7003
Generation 3 Bot 60, score = 12346
Generation 3 Bot 70, score = 2485
Generation 3 Bot 80, score = 6316
Generation 3 Bot 90, score = 5778
Generation 3 Bot 100, score = 3741
Generation 3 Bot 110, score = 4095
Generation 3 Bot 120, score = 12803
Generation 3 Bot 130, score = 8911
Generation 3 Bot 140, score = 13503
Generation 3 Bot 150, score = 12235
Generation 3 Bot 160, score = 8585
Generation 3 Bot 170, score = 13141
Generation 3 Bot 180, score = 8128
Generation 3 Bot 190, score = 3403
Generation 4 Bot 0, score = 4753
Generation 4 Bot 10, score = 11881
Generation 4 Bot 20, score = 3828
Generation 4 Bot 30, score = 8101
Generation 4 Bot 40, score = 21828
Generation 4 Bot 50, score = 10296
Generation 4 Bot 60, score = 14528
Generation 4 Bot 70, score = 4656
Generation 4 Bot 80, score = 12603
Generation 4 Bot 90, score = 5350
Generation 4 Bot 100, score = 11935
Generation 4 Bot 110, score = 3440
Generation 4 Bot 120, score = 13861
Generation 4 Bot 130, score = 8128
Generation 4 Bot 140, score = 5665
Generation 4 Bot 150, score = 21828
Generation 4 Bot 160, score = 31425
Generation 4 Bot 170, score = 17053
Generation 4 Bot 180, score = 13041
Generation 4 Bot 190, score = 4095
Generation 5 Bot 0, score = 9011
Generation 5 Bot 10, score = 4753
Generation 5 Bot 20, score = 12861
Generation 5 Bot 30, score = 4105
Generation 5 Bot 40, score = 14706
Generation 5 Bot 50, score = 4660
Generation 5 Bot 60, score = 9145
Generation 5 Bot 70, score = 6105
Generation 5 Bot 80, score = 17036
Generation 5 Bot 90, score = 4560
Generation 5 Bot 100, score = 8075
Generation 5 Bot 110, score = 11828
Generation 5 Bot 120, score = 4095
Generation 5 Bot 130, score = 12920
Generation 5 Bot 140, score = 15151
Generation 5 Bot 150, score = 6441
Generation 5 Bot 160, score = 8228
Generation 5 Bot 170, score = 5151
Generation 5 Bot 180, score = 4005
Generation 5 Bot 190, score = 13341
Generation 6 Bot 0, score = 4565
Generation 6 Bot 10, score = 16390
Generation 6 Bot 20, score = 8101
Generation 6 Bot 30, score = 25076
Generation 6 Bot 40, score = 3003
Generation 6 Bot 50, score = 12346
Generation 6 Bot 60, score = 5886
Generation 6 Bot 70, score = 7140
Generation 6 Bot 80, score = 5995
Generation 6 Bot 90, score = 9691
Generation 6 Bot 100, score = 3855
Generation 6 Bot 110, score = 13695
Generation 6 Bot 120, score = 17578
Generation 6 Bot 130, score = 6670
Generation 6 Bot 140, score = 9180
Generation 6 Bot 150, score = 11126
Generation 6 Bot 160, score = 7240
Generation 6 Bot 170, score = 6105
Generation 6 Bot 180, score = 12346
Generation 6 Bot 190, score = 29403
Generation 7 Bot 0, score = 11275
Generation 7 Bot 10, score = 13695
Generation 7 Bot 20, score = 14061
Generation 7 Bot 30, score = 7603
Generation 7 Bot 40, score = 18055
Generation 7 Bot 50, score = 7021
Generation 7 Bot 60, score = 9180
Generation 7 Bot 70, score = 8128
Generation 7 Bot 80, score = 4753
Generation 7 Bot 90, score = 9316
Generation 7 Bot 100, score = 9591
Generation 7 Bot 110, score = 5356
Generation 7 Bot 120, score = 15776
Generation 7 Bot 130, score = 19603
Generation 7 Bot 140, score = 3916
Generation 7 Bot 150, score = 16853
Generation 7 Bot 160, score = 15425
Generation 7 Bot 170, score = 9245
Generation 7 Bot 180, score = 15251
Generation 7 Bot 190, score = 11576
Generation 8 Bot 0, score = 5665
Generation 8 Bot 10, score = 14978
Generation 8 Bot 20, score = 10153
Generation 8 Bot 30, score = 5995
Generation 8 Bot 40, score = 8256
Generation 8 Bot 50, score = 15351
Generation 8 Bot 60, score = 10353
Generation 8 Bot 70, score = 7240
Generation 8 Bot 80, score = 20200
Generation 8 Bot 90, score = 15400
Generation 8 Bot 100, score = 7360
Generation 8 Bot 110, score = 3003
Generation 8 Bot 120, score = 4656
Generation 8 Bot 130, score = 8101
Generation 8 Bot 140, score = 29080
Generation 8 Bot 150, score = 20100
Generation 8 Bot 160, score = 14028
Generation 8 Bot 170, score = 8615
Generation 8 Bot 180, score = 5886
Generation 8 Bot 190, score = 7140
Generation 9 Bot 0, score = 10440
Generation 9 Bot 10, score = 14735
Generation 9 Bot 20, score = 27795
Generation 9 Bot 30, score = 2850
Generation 9 Bot 40, score = 15976
Generation 9 Bot 50, score = 6986
Generation 9 Bot 60, score = 12403
Generation 9 Bot 70, score = 18055
Generation 9 Bot 80, score = 4756
Generation 9 Bot 90, score = 6555
Generation 9 Bot 100, score = 1891
Generation 9 Bot 110, score = 24610
Generation 9 Bot 120, score = 6086
Generation 9 Bot 130, score = 9045
Generation 9 Bot 140, score = 9791
Generation 9 Bot 150, score = 9416
Generation 9 Bot 160, score = 2775
Generation 9 Bot 170, score = 6105
Generation 9 Bot 180, score = 6770
Generation 9 Bot 190, score = 9730
Generation 10 Bot 0, score = 12190
Generation 10 Bot 10, score = 4560
Generation 10 Bot 20, score = 6316
Generation 10 Bot 30, score = 11981
Generation 10 Bot 40, score = 10440
Generation 10 Bot 50, score = 2556
Generation 10 Bot 60, score = 16390
Generation 10 Bot 70, score = 5878
Generation 10 Bot 80, score = 8778
Generation 10 Bot 90, score = 9830
Generation 10 Bot 100, score = 6216
Generation 10 Bot 110, score = 3855
Generation 10 Bot 120, score = 10831
Generation 10 Bot 130, score = 3103
Generation 10 Bot 140, score = 10111
Generation 10 Bot 150, score = 10396
Generation 10 Bot 160, score = 21921
Generation 10 Bot 170, score = 16753
Generation 10 Bot 180, score = 32996
Generation 10 Bot 190, score = 3403
Generation 11 Bot 0, score = 25978
Generation 11 Bot 10, score = 8228
Generation 11 Bot 20, score = 41916
Generation 11 Bot 30, score = 6328
Generation 11 Bot 40, score = 23055
Generation 11 Bot 50, score = 8911
Generation 11 Bot 60, score = 5986
Generation 11 Bot 70, score = 3240
Generation 11 Bot 80, score = 10885
Generation 11 Bot 90, score = 10596
Generation 11 Bot 100, score = 16753
